Rk,Name,Age,Pos,GP,G,A,P
259,Roberts Mamcics,30,D,4,0,0,0
260,Oskars Batna,30,F,4,0,0,0
261,Matias Lassen,29,D,4,0,0,0
262,Colton Parayko,32,D,4,0,0,0
263,Martins Dzierkals,28,F,4,0,0,0
264,Kristians Rubins,28,D,4,0,0,0
265,Anthony Rech,33,F,4,0,0,0
266,Jason Seed,34,D,4,0,0,0
267,David Tomasek,30,F,4,0,0,0
268,Andrea Glauser,29,D,4,0,0,0
269,Greg DiTomaso,29,D,4,0,0,0
270,Dylan DiPerna,29,D,4,0,0,0
271,Patrick Russell,33,F,4,0,0,0
272,Daniel Glira,31,D,4,0,0,0
273,Luca Zanatta,34,D,4,0,0,0
274,Giovanni Morini,31,F,4,0,0,0
275,Alexandre Texier,26,F,4,0,0,0
276,Pontus Holmberg,26,F,4,0,0,0
277,Mikael Frycklund,32,F,4,0,0,0
278,Lukas Dostal,25,G,4,0,0,0
279,Dylan Fabre,25,F,4,0,0,0
280,Daniel Mantenuto,28,F,4,0,0,0
281,Kevin Bozon,30,F,4,0,0,0
282,Enzo Guebey,26,D,4,0,0,0
283,Sandis Vilmanis,22,F,4,0,0,0
284,Samuel Takac,34,F,4,0,0,0
285,Anri Ravinskis,23,F,4,0,0,0
286,Damian Clara,21,G,4,0,0,0
287,Tommaso De Luca,21,F,4,0,0,0
288,Jules Boscq,23,D,4,0,0,0
289,Christoph Bertschy,31,F,5,0,0,0
290,Christian Marti,32,D,5,0,0,0
291,Ondrej Kase,30,F,5,0,0,0
292,Jonas Müller,30,D,5,0,0,0
293,Kai Wissmann,29,D,5,0,0,0
294,Jonas Siegenthaler,28,D,5,0,0,0
295,Marc Michaelis,30,F,5,0,0,0
296,Jakub Flek,33,F,5,0,0,0
297,Calvin Thürkauf,28,F,5,0,0,0
298,Leon Gawanke,26,D,5,0,0,0
299,Sandro Schmid,25,F,5,0,0,0
300,Alexander Ehl,26,F,5,0,0,0
